num,id,chain_identifier,name,shortname
0,,,Picasso,
1,factom,,Factom,
2,ethereum,1.0,Ethereum,
3,findora,,Findora,
4,klay-token,,Klaytn,
5,theta,361.0,Theta,
6,vite,,Vite,
7,bittorrent,199.0,BitTorrent,
8,kusama,,Kusama,
9,iotex,,IoTeX,iotex
10,bitkub-chain,96.0,Bitkub Chain,
11,komodo,,Komodo,
12,kujira,,Kujira,
13,algorand,,Algorand,
14,huobi-token,128.0,Huobi ECO Chain Mainnet,HECO
15,ethereum-classic,,Ethereum Classic,
16,polis-chain,333999.0,Polis Chain,
17,eos,,EOS,
18,stellar,,Stellar,
19,proof-of-memes,,Proof of Memes,
20,counterparty,,Counterparty,
21,telos,,Telos,
22,bitshares,,BitShares,
23,hoo,,Hoo,Hoo
24,icon,,ICON,
25,nem,,NEM,
26,nuls,,Nuls,
27,neo,,NEO,
28,tezos,,Tezos,
29,mixin-network,,Mixin Network,
30,super-zero,,Sero,
31,yocoin,,Yocoin,yocoin
32,defichain,,DeFiChain,
33,xdai,100.0,Gnosis Chain,
34,rollux,,Rollux,
35,boba,288.0,Boba Network,
36,the-open-network,,The Open Network,TON
37,polygon-pos,137.0,Polygon POS,MATIC
38,lightlink,,LightLink,
39,exosama,,Exosama,
40,aurora,1313161554.0,Aurora,aurora
41,opbnb,204.0,opBNB,
42,aura-network,,Aura Network,
43,bitgert,,Bitgert Chain,Bitgert Brise
44,wemix-network,,Wemix Network,
45,moonriver,1285.0,Moonriver,moonriver
46,cronos,25.0,Cronos,CRO
47,smartbch,10000.0,SmartBCH,
48,tomochain,88.0,TomoChain,
49,echelon,,Echelon,
50,neon-evm,245022934.0,Neon EVM,
51,elrond,,Elrond,elrond
52,acala,,Acala,
53,harmony-shard-0,1666600000.0,Harmony Shard 0,Harmony Shard 0
54,defi-kingdoms-blockchain,,DFK Chain,DFK Chain
55,evmos,9001.0,Evmos,evmos
56,everscale,,Everscale,
57,karura,,Karura,
58,terra,,Terra Classic,
59,ronin,,Ronin,ron
60,sx-network,,SX Network,sxn
61,cube,,Cube,
62,sora,,Sora,
63,elastos,,Elastos Smart Contract Chain,Elastos
64,celo,42220.0,Celo,celo
65,pulsechain,,Pulsechain,
66,coinex-smart-chain,52.0,CoinEx Smart Chain,CSC
67,moonbeam,1284.0,Moonbeam,
68,songbird,,Songbird,
69,avalanche,43114.0,Avalanche,AVAX
70,astar,,Astar,
71,hoo-smart-chain,70.0,Hoo Smart Chain,
72,dogechain,,Dogechain,
73,oasis,42262.0,Oasis,oasis
74,sui,,Sui,
