num,id,symbol,name
1,bitcoin,btc,Bitcoin
2,litecoin,ltc,Litecoin
3,namecoin,nmc,Namecoin
4,terracoin,trc,Terracoin
5,peercoin,ppc,Peercoin
6,novacoin,nvc,Novacoin
7,feathercoin,ftc,Feathercoin
8,freicoin,frc,Freicoin
9,ixcoin,ixc,Ixcoin
10,digitalcoin,dgc,Digitalcoin
11,goldcoin,glc,Goldcoin
12,phoenixcoin,pxc,Phoenixcoin
13,primecoin,xpm,Primecoin
14,ripple,xrp,XRP
15,quark,qrk,Quark
16,zetacoin,zet,Zetacoin
17,public-index-network,pin,Public Index Network
18,unobtanium,uno,Unobtanium
19,deutsche-emark,dem,Deutsche eMark
20,dogecoin,doge,Dogecoin
21,diamond,dmd,Diamond
22,omni,omni,Omni
23,42-coin,42,42-coin
24,vertcoin,vtc,Vertcoin
25,digibyte,dgb,DigiByte
26,nyancoin,kat,KatKoyn
27,maxcoin,max,Maxcoin
28,dash,dash,Dash
29,counterparty,xcp,Counterparty
30,auroracoin,aur,Auroracoin
31,marscoin,mars,Marscoin
32,magic-internet-money,mim,Magic Internet Money
33,ufocoin,ufo,Uniform Fiscal Object
34,blackcoin,blk,BlackCoin
35,myriadcoin,xmy,Myriad
36,einsteinium,emc2,Einsteinium
37,monacoin,mona,MonaCoin
38,groestlcoin,grs,Groestlcoin
39,quebecoin,qbc,Quebecoin
40,maidsafecoin,emaid,MaidSafeCoin
41,bitcoin-plus,xbc,Bitcoin Plus
42,newyorkcoin,nyc,NewYorkCoin
43,pinkcoin,pink,Pinkcoin
44,monero,xmr,Monero
45,curecoin,cure,Curecoin
46,motocoin,moto,Motocoin
47,bytecoin,bcn,Bytecoin
48,nav-coin,nav,Navcoin
49,digitalnote,xdn,DigitalNote
50,stealthcoin,xst,Stealth
51,clams,clam,Clams
52,bitshares,bts,BitShares
53,viacoin,via,Viacoin
54,carboncoin,carbon,Carboncoin
55,cannabiscoin,cann,CannabisCoin
56,stellar,xlm,Stellar
57,syscoin,sys,Syscoin
58,ubiq,ubq,Ubiq
59,acoin,acoin,Acoin
60,globalboost,bsty,GlobalBoost-Y
61,verge,xvg,Verge
62,blocknet,block,Blocknet
63,crown,crw,Crown
64,gcn-coin,gcn,GCN Coin
65,okcash,ok,Okcash
66,nexus,nxs,Nexus
67,kobocoin,kobo,Kobocoin
68,bean-cash,bitb,Bean Cash
69,gridcoin-research,grc,Gridcoin
70,litedoge,ldoge,LiteDoge
71,songcoin,song,SongCoin
72,woodcoin,log,Woodcoin
73,nem,xem,NEM
74,neutron,ntrn,Neutron
75,neutron-3,ntrn,Neutron
76,bata,bta,Bata
77,ratecoin,xra,Ratecoin
78,bowscoin,bsc,BowsCoin
79,manna,manna,Manna
80,aeon,aeon,Aeon
81,ethereum,eth,Ethereum
82,siacoin,sc,Siacoin
83,bolivarcoin,boli,Bolivarcoin
84,pakcoin,pak,Pakcoin
85,expanse,exp,Expanse
86,sibcoin,sib,SIBCoin
87,swing,swing,Swing
88,paccoin,pac,PAC Protocol
89,radium,val,Validity
90,yocoin,yoc,Yocoin
91,salus,sls,SaluS
92,evil-coin,evil,Evil Coin
93,decred,dcr,Decred
94,pivx,pivx,PIVX
95,nevacoin,neva,NevaCoin
96,lisk,lsk,Lisk
97,steem,steem,Steem
98,aquariuscoin,arco,AquariusCoin
99,lanacoin,lana,LanaCoin
100,ponzicoin,ponzi,PonziCoin
101,citadel,ctl,Citadel
102,waves,waves,Waves
103,lbry-credits,lbc,LBRY Credits
104,putincoin,put,PUTinCoin
105,steem-dollars,sbd,Steem Dollars
106,ardor,ardr,Ardor
107,ethereum-classic,etc,Ethereum Classic
108,karbo,krb,Karbo
109,stratis,strax,Stratis
110,tajcoin,taj,TajCoin
111,nolimitcoin,nlc,NoLimitCoin
112,zcoin,firo,Firo
113,zcash,zec,Zcash
114,allsafe,asafe,AllSafe
115,hush,hush,Hush
116,pascalcoin,pasc,Pascal
117,byteball,gbyte,Obyte
118,jupiter,jup,Jupiter
119,spectrecoin,alias,Alias
120,komodo,kmd,Komodo
121,nano,xno,Nano
122,zero,zer,Zero
123,skycoin,sky,Skycoin
124,xtrabytes,xby,XTRABYTES
125,bitcore,btx,BitCore
126,qtum,qtum,Qtum
127,sumokoin,sumo,Sumokoin
128,zencash,zen,Horizen
129,metaverse-etp,etp,Metaverse ETP
130,aidos-kuneen,adk,Aidos Kuneen
131,quantum-resistant-ledger,qrl,Quantum Resistant Ledger
132,iota,miota,IOTA
133,dinastycoin,dcy,Dinastycoin
134,gxchain,gxc,GXChain
135,ergo,erg,Ergo
136,eos,eos,EOS
137,denarius,d,Denarius
138,wagerr,wgr,Wagerr
139,rupee,rup,Rupee
140,particl,part,Particl
141,smartcash,smart,SmartCash
142,bitcoin-cash,bch,Bitcoin Cash
143,oraclechain,oct,OracleChain
144,binancecoin,bnb,BNB
145,geysercoin,gsr,GeyserCoin
146,cream-2,cream,Cream
147,bytom,btm,Bytom
148,genesysgo-shadow,shdw,Shadow Token
149,deeponion,onion,DeepOnion
150,adshares,ads,Adshares
151,hshare,hc,HyperCash
152,nebulas,nas,Nebulas
153,biblepay,bbp,BiblePay
154,achain,act,Achain
155,litecoin-ultra,ltcu,LiteCoin Ultra
156,neblio,nebl,Neblio
157,tron,trx,TRON
158,kin,kin,Kin
159,colossuscoinxt,colx,ColossusXT
160,trezarcoin,tzc,TrezarCoin
161,bismuth,bis,Bismuth
162,cardano,ada,Cardano
163,tezos,xtz,Tezos
